activity1,activity2,corr,communities,cluster1,cluster2
"Community-based child protection, including psychosocial support and parenting programmes - CP2","1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.598,45,Protection,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2","2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.585,42,Protection,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2","1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.569,44,Protection,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.546,32,Protection,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.545,38,Protection,Education
chlorin_cholera,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.537,36,WASH,Education
Psychosocial support (PSS) - GP4,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.533,41,Protection,Education
Psychosocial support (PSS) - GP4,Free Bread Distribution,0.528,40,Protection,FSL
"Community-based child protection, including psychosocial support and parenting programmes - CP2","2.06.2 Provide children, teachers and education personnel Covid-19 related awareness raising",0.521,25,Protection,Education
Psychosocial support (PSS) - GP4,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.518,43,Protection,Education
chlorin_cholera,1.2.1.2: Installation of new/ replacement of existing tents,0.517,25,WASH,SNFI
cholera_safe_water,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.515,38,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",Free Bread Distribution,0.513,37,Protection,FSL
Case management and Referrals - GP5,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.508,32,Protection,Education
Psychosocial support (PSS) - GP4,1.1.1.1: Provision of core NFIs,0.504,30,Protection,SNFI
cholera_hp_rcce_iec,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.502,34,WASH,Education
Psychosocial support (PSS) - GP4,Cooked Meals,0.499,34,Protection,FSL
cholera_safe_water,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.497,23,WASH,Education
chlorin_cholera,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.496,32,WASH,Education
1.2.1.2: Installation of new/ replacement of existing tents,Free Bread Distribution,0.496,28,SNFI,FSL
cholera_hp_rcce_iec,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.493,21,WASH,Education
chlorin_cholera,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.49,34,WASH,Education
Case management and Referrals - GP5,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.488,43,Protection,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2","2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.487,51,Protection,Education
1.2.1.2: Installation of new/ replacement of existing tents,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.487,30,SNFI,Education
Case management and Referrals - GP5,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.485,47,Protection,Education
chlorin_cholera,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.484,22,WASH,Education
cholera_hp_rcce_iec,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.484,22,WASH,Education
cholera_sew,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.482,22,WASH,Education
chlorin_cholera,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.481,30,WASH,Education
cholera_hp_rcce_iec,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.481,30,WASH,Education
cholera_safe_water,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.48,34,WASH,Education
Psychosocial support (PSS) - GP4,1.2.1.2: Installation of new/ replacement of existing tents,0.479,28,Protection,SNFI
cholera_sew,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.478,35,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",1.1.1.1: Provision of core NFIs,0.474,27,Protection,SNFI
"Community-based child protection, including psychosocial support and parenting programmes - CP2",1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.474,23,Protection,Education
des_beneficiaries,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.472,54,WASH,Education
Psychosocial support (PSS) - GP4,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.471,39,Protection,Education
cholera_safe_water,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.471,27,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",Emergency Food Rations (EFRs),0.468,27,Protection,FSL
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,1.9   Provide children with school water trucking,0.467,96,Nutrition,Education
1.2.1.2: Installation of new/ replacement of existing tents,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.467,27,SNFI,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,1.9   Provide children with school water trucking,0.466,115,Nutrition,Education
# of PLWs with moderate acute malnutrition admitted for treatment,1.9   Provide children with school water trucking,0.464,106,Nutrition,Education
Psychosocial support (PSS) - GP4,Ready to Eat Ration,0.464,56,Protection,FSL
"Community-based child protection, including psychosocial support and parenting programmes - CP2",chlorin_cholera,0.463,29,Protection,WASH
"Community-based child protection, including psychosocial support and parenting programmes - CP2","1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.463,24,Protection,Education
cholera_safe_water,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.463,23,WASH,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,1.02.1 Support the provision of formal education to children and youth,0.462,118,Nutrition,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",cholera_sew,0.461,31,Protection,WASH
# PLWs screened for malnutrition,1.9   Provide children with school water trucking,0.459,124,Nutrition,Education
Psychosocial support (PSS) - GP4,Emergency Food Rations (EFRs),0.458,28,Protection,FSL
cholera_hp_rcce_iec,1.1.1.1: Provision of core NFIs,0.457,23,WASH,SNFI
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.456,105,Nutrition,Education
# of PLWs with moderate acute malnutrition admitted for treatment,1.02.1 Support the provision of formal education to children and youth,0.455,108,Nutrition,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",1.9   Provide children with school water trucking,0.455,53,Protection,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,1.9   Provide children with school water trucking,0.454,117,Nutrition,Education
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.454,85,Nutrition,Education
Case management and Referrals - GP5,des_beneficiaries,0.453,60,Protection,WASH
pwd_beneficiaries,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.453,22,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",cholera_safe_water,0.451,31,Protection,WASH
"# of PLWs who received micronutrients including iron, folate  for six months",1.9   Provide children with school water trucking,0.45,120,Nutrition,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.45,101,Nutrition,Education
Case management and Referrals - GP5,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.45,42,Protection,Education
hk_ben,Emergency Food Rations (EFRs),0.45,35,WASH,FSL
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),1.9   Provide children with school water trucking,0.449,119,Nutrition,Education
cholera_sew,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.449,22,WASH,Education
cholera_hp_rcce_iec,1.2.1.2: Installation of new/ replacement of existing tents,0.448,22,WASH,SNFI
Free Bread Distribution,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.447,37,FSL,Education
Psychosocial support (PSS) - GP4,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.447,34,Protection,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",1.2.1.2: Installation of new/ replacement of existing tents,0.447,25,Protection,SNFI
Case management and Referrals - GP5,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.446,45,Protection,Education
Emergency Food Rations (EFRs),"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.446,27,FSL,Education
Psychosocial support (PSS) - GP4,"2.06.2 Provide children, teachers and education personnel Covid-19 related awareness raising",0.446,23,Protection,Education
Psychosocial support (PSS) - GP4,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.446,23,Protection,Education
# PLWs screened for malnutrition,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.445,109,Nutrition,Education
Case management and Referrals - GP5,Emergency Food Rations (EFRs),0.445,32,Protection,FSL
"Community-based child protection, including psychosocial support and parenting programmes - CP2","1.08.6 Provide teachers with teaching materials and resources such as chalk, rulers, markers, etc. for teaching in non-formal settings",0.445,21,Protection,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",cholera_hp_rcce_iec,0.444,28,Protection,WASH
# of boys and girls (6 – 59 months) screened for malnutrition,1.9   Provide children with school water trucking,0.443,122,Nutrition,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,1.9   Provide children with school water trucking,0.443,107,Nutrition,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,1.02.1 Support the provision of formal education to children and youth,0.442,119,Nutrition,Education
cholera_hp_rcce_iec,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.441,29,WASH,Education
Psychosocial support (PSS) - GP4,water_trucking,0.44,60,Protection,WASH
Psychosocial support (PSS) - GP4,# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,0.44,57,Protection,Nutrition
"Community-based child protection, including psychosocial support and parenting programmes - CP2",Cooked Meals,0.44,29,Protection,FSL
1.2.1.2: Installation of new/ replacement of existing tents,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.44,27,SNFI,Education
cholera_sew,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.44,25,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",1.02.1 Support the provision of formal education to children and youth,0.439,53,Protection,Education
cholera_safe_water,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.439,34,WASH,Education
cholera_sew,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.439,31,WASH,Education
Emergency Food Rations (EFRs),"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.439,28,FSL,Education
Seasonal and supplementary NFIs,Emergency Food Rations (EFRs),0.439,22,SNFI,FSL
# PLWs screened for malnutrition,1.02.1 Support the provision of formal education to children and youth,0.438,125,Nutrition,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",# of children 0-6 months EBF,0.438,42,Protection,Nutrition
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,1.02.1 Support the provision of formal education to children and youth,0.437,95,Nutrition,Education
Psychosocial support (PSS) - GP4,des_beneficiaries,0.437,49,Protection,WASH
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.436,59,Nutrition,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",1.13.2 Provide children with school bags in non-formal settings,0.436,21,Protection,Education
des_beneficiaries,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.435,52,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",des_beneficiaries,0.435,46,Protection,WASH
des_beneficiaries,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.435,46,WASH,Education
"# of PLWs who received micronutrients including iron, folate  for six months","2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.433,105,Nutrition,Education
cholera_safe_water,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.433,30,WASH,Education
1.1.1.1: Provision of core NFIs,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.433,26,SNFI,Education
chlorin_cholera,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.433,23,WASH,Education
cholera_hp_rcce_iec,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.433,23,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",Ready to Eat Ration,0.432,50,Protection,FSL
Case management and Referrals - GP5,Free Bread Distribution,0.432,40,Protection,FSL
beneficiaries_toilets,1.2.1.2: Installation of new/ replacement of existing tents,0.432,26,WASH,SNFI
hp_pwd_ben,1.1.1.1: Provision of core NFIs,0.432,23,WASH,SNFI
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.431,104,Nutrition,Education
chlorin_cholera,Free Bread Distribution,0.431,28,WASH,FSL
"# of PLWs who received micronutrients including iron, folate  for six months",1.02.1 Support the provision of formal education to children and youth,0.43,121,Nutrition,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months","1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.43,40,Nutrition,Education
Case management and Referrals - GP5,"2.06.2 Provide children, teachers and education personnel Covid-19 related awareness raising",0.43,26,Protection,Education
# of boys and girls (6 – 59 months) screened for malnutrition,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.429,107,Nutrition,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.428,94,Nutrition,Education
Case management and Referrals - GP5,"1.08.6 Provide teachers with teaching materials and resources such as chalk, rulers, markers, etc. for teaching in non-formal settings",0.428,25,Protection,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,1.02.1 Support the provision of formal education to children and youth,0.426,108,Nutrition,Education
# of children 6-59 months reached with HEB for 2 weeks,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.426,83,Nutrition,Education
