admin4pcode,beneficiaries,cluster
C1020,12717,WASH
C1021,28817,WASH
C1022,0,WASH
C1025,24537,WASH
C1026,5064,WASH
C1030,0,WASH
C1032,0,WASH
C1035,9342,WASH
C1036,1209,WASH
C1041,0,WASH
C1138,5906,WASH
C1139,0,WASH
C1143,0,WASH
C1188,1300,WASH
C1190,1401,WASH
C1192,3489,WASH
C1196,682,WASH
C1198,6930,WASH
C1199,343,WASH
C1202,10169,WASH
C1204,235,WASH
C1206,1266,WASH
C1209,4802,WASH
C1213,0,WASH
C1250,33,WASH
C1329,46,WASH
C1333,465,WASH
C1345,0,WASH
C1346,3559,WASH
C1359,644,WASH
C1362,2202,WASH
C1364,2608,WASH
C1366,37823,WASH
C1378,85,WASH
C1381,906,WASH
C1420,651,WASH
C1421,527,WASH
C1422,741,WASH
C1423,798,WASH
C1424,6573,WASH
C1426,15406,WASH
C1427,810,WASH
C1428,325,WASH
C1429,1200,WASH
C1433,2411,WASH
C1434,543,WASH
C1435,13676,WASH
C1436,836,WASH
C1437,1214,WASH
C1438,592,WASH
C1439,574,WASH
C1444,1975,WASH
C1445,313,WASH
C1449,2208,WASH
C1452,0,WASH
C1484,3196,WASH
C1491,202,WASH
C1497,1996,WASH
C1498,3754,WASH
C1515,2516,WASH
C1518,7306,WASH
C1519,442,WASH
C1520,6184,WASH
C1521,2582,WASH
C1524,6016,WASH
C1547,3114,WASH
C1552,3212,WASH
C1557,54982,WASH
C1558,1235,WASH
C1559,6204,WASH
C1561,31748,WASH
C1564,22626,WASH
C1566,16761,WASH
C1568,197,WASH
C1571,0,WASH
C1572,2014,WASH
C1573,8716,WASH
C1574,8083,WASH
C1575,0,WASH
C1576,0,WASH
C1577,2158,WASH
C1579,0,WASH
C1581,0,WASH
C1582,0,WASH
C1588,0,WASH
C1591,4348,WASH
C1595,0,WASH
C1597,5718,WASH
C1600,0,WASH
C1605,3416,WASH
C1609,743,WASH
C1615,715,WASH
C1632,429,WASH
C1642,0,WASH
C1643,2152,WASH
C1658,2500,WASH
C1664,0,WASH
C1667,22075,WASH
C1671,5221,WASH
C1672,2767,WASH
C2213,1370,WASH
C2215,0,WASH
C2216,0,WASH
C2219,0,WASH
C2220,7566,WASH
C2222,0,WASH
C2224,0,WASH
C2225,640,WASH
C2227,15918,WASH
C2238,5839,WASH
C2250,10962,WASH
C2254,1326,WASH
C2262,0,WASH
C2263,1460,WASH
C2268,1738,WASH
C3170,0,WASH
C3867,0,WASH
C3871,10161,WASH
C3872,0,WASH
C3873,894,WASH
C3875,2394,WASH
C3876,0,WASH
C3878,0,WASH
C3879,1103,WASH
C3904,0,WASH
C3905,1307,WASH
C3906,2391,WASH
C3932,0,WASH
C3934,0,WASH
C3937,3204,WASH
C3938,4522,WASH
C3939,7792,WASH
C3940,1646,WASH
C3941,0,WASH
C3942,24859,WASH
C3943,38716,WASH
C3944,9267,WASH
C3945,17845,WASH
C3946,1970,WASH
C3947,6947,WASH
C3948,1596,WASH
C3949,99448,WASH
C3950,5292,WASH
C3951,7930,WASH
C3952,0,WASH
C3953,0,WASH
C4114,250,WASH
C4115,22816,WASH
C4116,467,WASH
C4117,3539,WASH
C4120,24288,WASH
C4121,61323,WASH
C4122,21152,WASH
C4123,2430,WASH
C4124,11124,WASH
C4125,3974,WASH
C4126,17733,WASH
C4127,11651,WASH
C4129,202844,WASH
C4130,247269,WASH
C4131,14325,WASH
C4132,15567,WASH
C4133,5156,WASH
C4134,298,WASH
C4135,0,WASH
C4136,1748,WASH
C4137,1700,WASH
C4138,123,WASH
C4139,465,WASH
C4140,8403,WASH
C4141,20509,WASH
C4142,793,WASH
C4143,6493,WASH
C4145,3049,WASH
C4146,4617,WASH
C4147,1284,WASH
C4148,1060,WASH
C4149,407,WASH
C4151,1596,WASH
C4152,37,WASH
C4156,29,WASH
C4157,2974,WASH
C4160,0,WASH
C4161,1950,WASH
C4164,10387,WASH
C4165,0,WASH
C4166,0,WASH
C4167,0,WASH
C4168,494,WASH
C4169,2422,WASH
C4170,6426,WASH
C4171,0,WASH
C4172,11917,WASH
C4173,1976,WASH
C4174,4710,WASH
C4175,1260,WASH
C4176,7250,WASH
C4178,1605,WASH
C4179,900,WASH
C4180,3013,WASH
C4181,687,WASH
C4183,553,WASH
C4184,0,WASH
C4185,346,WASH
C4190,0,WASH
C4191,0,WASH
C4197,0,WASH
C4212,0,WASH
C4222,0,WASH
C4226,0,WASH
C4231,2154,WASH
C4234,379,WASH
C4236,207,WASH
C4238,3210,WASH
C4240,1718,WASH
C4241,0,WASH
C4242,0,WASH
C4243,356,WASH
C4245,0,WASH
C4246,560,WASH
C4247,870,WASH
C4248,168,WASH
C4249,391,WASH
C4250,283,WASH
C4252,1422,WASH
C4253,0,WASH
C4254,636,WASH
C4255,0,WASH
C4256,0,WASH
C4257,0,WASH
C4258,0,WASH
C4259,0,WASH
C4260,3902,WASH
C4265,0,WASH
C4267,3479,WASH
C4269,1092,WASH
C4278,2516,WASH
C4281,310,WASH
C4283,446,WASH
C4286,0,WASH
C4290,0,WASH
C4294,0,WASH
C4295,0,WASH
C4312,1853,WASH
C4313,0,WASH
C4321,0,WASH
C4322,0,WASH
C4326,0,WASH
C4330,0,WASH
C5002,0,WASH
C5792,0,WASH
C5843,1450,WASH
C6334,0,WASH
C6364,0,WASH
C6389,91737,WASH
C6398,1436,WASH
C6399,386,WASH
C6402,416,WASH
C6514,0,WASH
C6616,0,WASH
C6618,0,WASH
C6619,6364,WASH
C6621,0,WASH
C6631,11142,WASH
C6632,6120,WASH
C6633,0,WASH
C6640,0,WASH
C6689,0,WASH
