district,sub_district,community,Cash,Education,FSL,Nutrition,Protection,SNFI,WASH,CCCM,ERL,beneficiary_frequencies,total_pop,admin4pcode
Idleb,Idleb,Idleb,14371,217,190943,21593,14157,NA,718680,NA,NA,959961,249009,C3871
Al Bab,Al Bab,Al Bab,8118,71,625203,8145,11235,NA,185839,NA,NA,838611,100527,C1202
Harim,Dana,Dana (Dana),25168,138,744281,27391,3509,86,20108,NA,800,820681,128413,C4126
Afrin,Jandairis,Jandairis,49178,1,637173,8977,19729,35,103884,NA,NA,818977,45702,C1426
Harim,Salqin,Salqin,47141,87,377802,6028,4766,368,301715,NA,NA,737907,93928,C4140
A'zaz,A'zaz,Azaz,12780,10,559592,15291,13437,1461,124737,NA,110,727308,116540,C1564
Harim,Dana,Sarmada,12583,149,334513,31892,6184,2296,54840,4920,NA,447377,135803,C4121
Harim,Harim,Harim,42918,96,207927,5510,4745,3599,116379,NA,NA,381174,62871,C4115
Jarablus,Jarablus,Jarablus,3122,42,187448,10260,1162,1690,157943,NA,370,361667,38311,C2227
Al Bab,Al Bab,Qabasin,822,6,197000,310,2221,NA,142260,NA,NA,342619,28005,C1209
Afrin,Afrin,Afrin (Afrin),26337,15,265968,11721,5728,179,17780,NA,540,327728,104803,C1366
Harim,Dana,Atma,18941,345,128307,45336,5518,2526,100169,NA,238,301142,182304,C4130
A'zaz,Suran,Ehteimlat,NA,2,78010,153,321,NA,150805,5227,NA,234518,15033,C1667
Jisr-Ash-Shugur,Darkosh,Darkosh,2454,20,8011,12291,2277,1000,203648,NA,NA,229701,29175,C4252
Jisr-Ash-Shugur,Badama,Kherbet Eljoz,2748,22,184061,6388,3422,15888,9595,NA,NA,222124,29272,C4231
Idleb,Maaret Tamsrin,Ma'arrat Tamasrin,7913,126,146153,30305,5424,3000,22481,NA,NA,215402,48596,C3947
Idleb,Maaret Tamsrin,Kelly,5251,259,102410,25981,5576,5778,57420,4276,NA,206951,72803,C3949
Harim,Armanaz,Armanaz,5044,64,80906,20146,1446,20,94737,NA,NA,202363,27015,C4176
Idleb,Maaret Tamsrin,Haranbush,2120,146,101537,12524,3260,10590,67095,NA,NA,197272,35091,C3943
Harim,Dana,Mashhad Ruhin,4904,87,71092,23367,422,NA,95136,NA,394,195008,14284,C6692
Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,679,15,150813,24001,2005,2500,NA,NA,NA,180013,28511,C4199
Harim,Dana,Deir Hassan - Darhashan,9017,225,42952,29389,4095,4490,46608,36673,94,173449,172715,C4129
A'zaz,A'zaz,Salama,680,28,56173,8400,2674,26464,73660,NA,150,168079,43263,C1561
Harim,Kafr Takharim,Kafr Takharim,8518,65,51453,574,3328,NA,94635,2970,NA,161543,27137,C4157
A'zaz,Mare',Mare',363,9,100042,5498,1741,122,43929,NA,NA,151704,36651,C1643
A'zaz,A'zaz,Shamarin,18,61,55990,10192,3245,14435,62457,NA,NA,146398,56073,C1566
Ariha,Ariha,Ariha,791,12,125726,9055,247,749,3262,NA,NA,139842,30726,C4278
Harim,Dana,Bab El Hawa,11,123,27089,18664,689,261,69769,20223,NA,136829,72743,C6389
Al Bab,Al Bab,Bazagha,799,0,96944,2883,1610,NA,21111,NA,NA,123347,25675,C1188
