admin4pcode,month,beneficiaries,cluster
C1020,feb,9377,WASH
C1020,jan,3340,WASH
C1020,mar,4136,WASH
C1021,feb,24889,WASH
C1021,jan,3928,WASH
C1021,mar,27396,WASH
C1022,feb,0,WASH
C1022,jan,0,WASH
C1022,mar,702,WASH
C1023,mar,138,WASH
C1025,feb,12270,WASH
C1025,jan,12267,WASH
C1025,mar,25584,WASH
C1026,feb,1564,WASH
C1026,jan,3500,WASH
C1026,mar,5005,WASH
C1030,feb,0,WASH
C1030,mar,0,WASH
C1032,feb,0,WASH
C1032,mar,0,WASH
C1035,feb,5966,WASH
C1035,jan,3376,WASH
C1035,mar,9209,WASH
C1036,feb,1209,WASH
C1036,mar,830,WASH
C1041,feb,0,WASH
C1041,jan,0,WASH
C1138,feb,5906,WASH
C1138,mar,1294,WASH
C1139,feb,0,WASH
C1139,jan,0,WASH
C1139,mar,0,WASH
C1143,feb,0,WASH
C1188,feb,650,WASH
C1188,jan,650,WASH
C1188,mar,560,WASH
C1190,feb,1401,WASH
C1190,mar,1100,WASH
C1192,feb,3489,WASH
C1192,mar,3489,WASH
C1196,feb,341,WASH
C1196,jan,341,WASH
C1196,mar,341,WASH
C1198,feb,3465,WASH
C1198,jan,3465,WASH
C1198,mar,3465,WASH
C1199,feb,343,WASH
C1199,mar,380,WASH
C1200,mar,0,WASH
C1202,feb,7424,WASH
C1202,jan,2745,WASH
C1202,mar,6375,WASH
C1204,feb,235,WASH
C1204,mar,235,WASH
C1206,feb,633,WASH
C1206,jan,633,WASH
C1206,mar,633,WASH
C1209,feb,4802,WASH
C1209,jan,0,WASH
C1209,mar,5513,WASH
C1213,jan,0,WASH
C1213,mar,0,WASH
C1250,feb,33,WASH
C1250,mar,0,WASH
C1257,mar,0,WASH
C1269,mar,0,WASH
C1329,feb,46,WASH
C1333,feb,465,WASH
C1333,mar,465,WASH
C1345,jan,0,WASH
C1345,mar,0,WASH
C1346,feb,2108,WASH
C1346,jan,1451,WASH
C1346,mar,2200,WASH
C1359,jan,644,WASH
C1362,feb,1101,WASH
