governorate,district,sub_district,community,admin4pcode,beneficiaries,beneficiary_frequencies,clusters,eq_score,population,pc_reached,wounded_dead,wounded_dead_100k,damaged_houses,damaged_houses_100k,CWG,Education,FSL,Nutrition,Protection,SNFI,WASH,CCCM,ERL
Aleppo,Jebel Saman,Atareb,Tuwama,C1020,11659,62629,8,NA,21115,2.966,NA,NA,NA,NA,270,16125,19902,2275,3014,1139,19508,NA,396
Aleppo,Jebel Saman,Atareb,Babka,C1021,11805,139429,7,NA,9086,15.345,NA,NA,NA,NA,2515,13408,73914,4492,30,4040,41030,NA,NA
Aleppo,Jebel Saman,Atareb,Atareb,C1022,4203,127237,8,0.099,32930,3.864,616,1870.6,170,516.2,10944,37752,50883,22400,1703,NA,2170,699,686
Aleppo,Jebel Saman,Atareb,Sahara,C1023,3684,21063,6,NA,10770,1.956,NA,NA,NA,NA,3684,8665,7095,1103,NA,NA,138,NA,378
Aleppo,Jebel Saman,Atareb,Batbu,C1025,17500,195503,6,NA,24581,7.953,NA,NA,NA,NA,3259,77831,73856,NA,755,1444,38358,NA,NA
Aleppo,Jebel Saman,Atareb,Abin Samaan,C1026,11500,84201,5,NA,20148,4.179,NA,NA,NA,NA,5819,32005,NA,10348,5,NA,36024,NA,NA
Aleppo,Jebel Saman,Atareb,Tadil,C1028,254,407,1,NA,1371,0.297,NA,NA,NA,NA,NA,407,NA,NA,NA,NA,NA,NA,NA
Aleppo,Jebel Saman,Atareb,Abzemo,C1030,5000,22320,4,NA,14962,1.492,NA,NA,NA,NA,3136,12001,NA,1720,NA,NA,5463,NA,NA
Aleppo,Jebel Saman,Atareb,Jeineh,C1032,5000,55490,7,NA,8298,6.687,NA,NA,NA,NA,4805,18526,21844,4633,48,NA,5040,NA,594
Aleppo,Jebel Saman,Atareb,Kafr Amma,C1033,470,1940,1,NA,904,2.146,NA,NA,NA,NA,NA,NA,1940,NA,NA,NA,NA,NA,NA
Aleppo,Jebel Saman,Atareb,Kafr Karmin,C1035,12615,156431,8,NA,17380,9.001,NA,NA,NA,NA,4368,47169,55547,4943,NA,4160,38522,1542,180
Aleppo,Jebel Saman,Atareb,Kafr Naseh Elatareb,C1036,3256,49983,6,NA,9394,5.321,NA,NA,NA,NA,3256,21096,21259,3447,245,NA,680,NA,NA
Aleppo,Jebel Saman,Atareb,Kafr Taal,C1037,1060,3180,1,NA,1196,2.659,NA,NA,NA,NA,NA,NA,3180,NA,NA,NA,NA,NA,NA
Aleppo,Jebel Saman,Atareb,Maaret Atarib,C1038,3273,18887,5,NA,8257,2.287,NA,NA,NA,NA,2082,3700,12387,416,302,NA,NA,NA,NA
Aleppo,Jebel Saman,Atareb,Kafr Noran,C1041,2740,12811,3,NA,4100,3.125,NA,NA,NA,NA,NA,7468,4188,NA,NA,NA,1155,NA,NA
Aleppo,Jebel Saman,Daret Azza,Zarzita,C1138,2810,31302,5,NA,8076,3.876,NA,NA,NA,NA,392,11038,8000,1974,NA,NA,9898,NA,NA
Aleppo,Jebel Saman,Daret Azza,Daret Azza,C1139,10360,199777,6,0.001,39110,5.108,0,0,6,15.3,11340,47007,110851,7367,4924,NA,18288,NA,NA
Aleppo,Jebel Saman,Daret Azza,Arhab,C1142,1100,3329,2,NA,1288,2.585,NA,NA,NA,NA,NA,NA,3150,179,NA,NA,NA,NA,NA
Aleppo,Jebel Saman,Daret Azza,Tqad,C1143,2798,24865,5,NA,1450,17.148,NA,NA,NA,NA,1435,13557,6500,NA,NA,2798,575,NA,NA
Aleppo,Jebel Saman,Daret Azza,Kafrantin,C1149,1690,12362,3,NA,4836,2.556,NA,NA,NA,NA,NA,3859,8150,353,NA,NA,NA,NA,NA
Aleppo,Al Bab,Al Bab,Sosyan,C1187,1005,6601,3,NA,2579,2.56,NA,NA,NA,NA,NA,NA,5880,720,1,NA,NA,NA,NA
Aleppo,Al Bab,Al Bab,Bazagha,C1188,45500,224484,7,0.007,25675,8.743,0,0,50,194.7,799,120,196210,4578,1610,56,21111,NA,NA
Aleppo,Al Bab,Al Bab,Shaala,C1189,2,5,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
Aleppo,Al Bab,Al Bab,Su Sinbat,C1190,2750,19575,4,NA,4455,4.394,NA,NA,NA,NA,NA,126,10476,467,NA,NA,8506,NA,NA
Aleppo,Al Bab,Al Bab,Hazwan,C1191,289,289,1,NA,1609,0.18,NA,NA,NA,NA,NA,NA,289,NA,NA,NA,NA,NA,NA
Aleppo,Al Bab,Al Bab,Borj (Al Bab),C1192,3489,9026,3,NA,2390,3.777,NA,NA,NA,NA,NA,NA,365,1273,NA,NA,7388,NA,NA
Aleppo,Al Bab,Al Bab,Maqri,C1193,529,892,1,NA,2102,0.424,NA,NA,NA,NA,NA,NA,892,NA,NA,NA,NA,NA,NA
Aleppo,Al Bab,Al Bab,Aabad (Al Bab),C1194,8775,25479,2,NA,400,63.697,NA,NA,NA,NA,NA,1279,24200,NA,NA,NA,NA,NA,NA
