admin1pcode,admin2pcode,admin3pcode,admin4pcode,beneficiaries,beneficiary_frequencies,clusters,total_pop,wounded_dead,wounded_dead_100k,damaged_houses,damaged_houses_100k,eq_score,cash_ben,pc_ben_freq,pc_ben
SY02,SY0203,SY020300,C1352,308,333,2,3305,NA,NA,NA,NA,NA,25,0.10075642965204236,0.09319213313161875
SY02,SY0203,SY020300,C1356,355,355,1,1175,NA,NA,NA,NA,NA,NA,0.3021276595744681,0.3021276595744681
SY02,SY0203,SY020300,C1363,5,5,1,1094,NA,NA,NA,NA,NA,NA,0.004570383912248629,0.004570383912248629
SY02,SY0203,SY020300,C1364,739,2916,2,5095,NA,NA,NA,NA,NA,NA,0.5723258096172719,0.1450441609421001
SY02,SY0203,SY020300,C1367,24,24,1,9021,NA,NA,NA,NA,NA,NA,0.002660458929165281,0.002660458929165281
SY02,SY0203,SY020300,C1370,29,39,2,2088,NA,NA,NA,NA,NA,NA,0.01867816091954023,0.013888888888888888
SY02,SY0203,SY020300,C1372,50,50,1,168,NA,NA,NA,NA,NA,50,0.2976190476190476,0.2976190476190476
SY02,SY0203,SY020300,C1373,51,227,1,2056,NA,NA,NA,NA,NA,NA,0.11040856031128404,0.02480544747081712
SY02,SY0203,SY020300,C1374,65,271,2,886,NA,NA,NA,NA,NA,65,0.3058690744920993,0.07336343115124154
SY02,SY0203,SY020300,C1376,255,261,2,7423,NA,NA,NA,NA,NA,255,0.035160986124208544,0.03435268759261754
SY02,SY0203,SY020300,C1378,365,1650,4,5353,NA,NA,NA,NA,NA,NA,0.30823837100691204,0.0681860638894078
SY02,SY0203,SY020300,C1382,23,38,2,472,NA,NA,NA,NA,NA,15,0.08050847457627118,0.048728813559322036
SY02,SY0203,SY020300,C1386,361,1490,2,11288,NA,NA,NA,NA,NA,125,0.13199858256555635,0.03198086463501063
SY02,SY0203,SY020300,C1388,125,125,1,1547,NA,NA,NA,NA,NA,125,0.08080155138978669,0.08080155138978669
SY02,SY0203,SY020301,C1393,45,45,1,446,NA,NA,NA,NA,NA,NA,0.10089686098654709,0.10089686098654709
SY02,SY0203,SY020301,C1395,295,405,2,1383,NA,NA,NA,NA,NA,30,0.2928416485900217,0.21330441070137382
SY02,SY0203,SY020301,C1399,65,160,3,1106,NA,NA,NA,NA,NA,5,0.14466546112115733,0.05877034358047016
SY02,SY0203,SY020301,C1400,190,195,2,520,NA,NA,NA,NA,NA,5,0.375,0.36538461538461536
SY02,SY0203,SY020301,C1401,395,470,2,1270,0,0,10,787.4015748031496,0.0064252196851625545,75,0.3700787401574803,0.3110236220472441
SY02,SY0203,SY020301,C1403,275,340,2,726,NA,NA,NA,NA,NA,65,0.46831955922865015,0.3787878787878788
SY02,SY0203,SY020301,C1405,23,61,2,371,NA,NA,NA,NA,NA,15,0.16442048517520216,0.06199460916442048
SY02,SY0203,SY020301,C1406,505,580,2,1264,NA,NA,NA,NA,NA,5,0.4588607594936709,0.3995253164556962
SY02,SY0203,SY020301,C1407,85,190,2,382,0,0,10,2617.801047120419,0.018671779595638628,5,0.4973821989528796,0.22251308900523561
SY02,SY0203,SY020301,C1409,155,155,1,290,NA,NA,NA,NA,NA,NA,0.5344827586206896,0.5344827586206896
SY02,SY0203,SY020301,C1410,70,160,1,1068,NA,NA,NA,NA,NA,NA,0.149812734082397,0.06554307116104868
SY02,SY0203,SY020301,C1411,65,70,2,281,NA,NA,NA,NA,NA,5,0.2491103202846975,0.2313167259786477
SY02,SY0203,SY020301,C1412,245,305,2,1047,NA,NA,NA,NA,NA,20,0.2913085004775549,0.23400191021967526
SY02,SY0203,SY020301,C1413,480,685,2,1196,NA,NA,NA,NA,NA,105,0.572742474916388,0.4013377926421405
SY02,SY0203,SY020301,C1414,355,480,2,1366,NA,NA,NA,NA,NA,25,0.3513909224011713,0.25988286969253294
SY02,SY0203,SY020301,C1415,95,250,2,483,NA,NA,NA,NA,NA,5,0.5175983436853002,0.19668737060041408
SY02,SY0203,SY020301,C1416,785,920,2,2377,NA,NA,NA,NA,NA,55,0.3870424905342869,0.3302482120319731
SY02,SY0203,SY020301,C1417,180,195,2,384,NA,NA,NA,NA,NA,15,0.5078125,0.46875
SY02,SY0203,SY020301,C1418,295,390,2,1076,NA,NA,NA,NA,NA,25,0.362453531598513,0.2741635687732342
SY02,SY0203,SY020302,C1441,255,255,1,1595,NA,NA,NA,NA,NA,255,0.15987460815047022,0.15987460815047022
SY02,SY0203,SY020302,C1442,8,8,1,466,NA,NA,NA,NA,NA,NA,0.017167381974248927,0.017167381974248927
SY02,SY0203,SY020302,C1448,105,105,1,912,NA,NA,NA,NA,NA,NA,0.11513157894736842,0.11513157894736842
SY02,SY0203,SY020303,C1453,1,2,1,834,NA,NA,NA,NA,NA,NA,0.002398081534772182,0.001199040767386091
SY02,SY0203,SY020303,C1455,1,2,1,1222,NA,NA,NA,NA,NA,NA,0.0016366612111292963,8.183306055646482e-4
SY02,SY0203,SY020303,C1458,79,79,1,280,NA,NA,NA,NA,NA,NA,0.28214285714285714,0.28214285714285714
SY02,SY0203,SY020303,C1461,362,362,1,1000,NA,NA,NA,NA,NA,NA,0.362,0.362
SY02,SY0203,SY020303,C1464,210,210,1,377,0,0,10,2652.5198938992044,0.018904071203852846,NA,0.5570291777188329,0.5570291777188329
SY02,SY0203,SY020303,C1465,2,2,1,1129,NA,NA,NA,NA,NA,NA,0.001771479185119575,0.001771479185119575
SY02,SY0203,SY020303,C1467,8,16,1,357,NA,NA,NA,NA,NA,NA,0.04481792717086835,0.022408963585434174
SY02,SY0203,SY020303,C1469,802,802,1,1926,NA,NA,NA,NA,NA,NA,0.4164070612668744,0.4164070612668744
SY02,SY0203,SY020303,C1473,87,345,1,5160,NA,NA,NA,NA,NA,NA,0.06686046511627906,0.01686046511627907
SY02,SY0203,SY020303,C1476,1,2,1,826,NA,NA,NA,NA,NA,NA,0.002421307506053269,0.0012106537530266344
SY02,SY0203,SY020303,C1478,1,2,1,1396,NA,NA,NA,NA,NA,NA,0.0014326647564469914,7.163323782234957e-4
SY02,SY0203,SY020303,C1480,5,5,1,47,NA,NA,NA,NA,NA,NA,0.10638297872340426,0.10638297872340426
SY02,SY0203,SY020303,C1487,752,752,1,1352,NA,NA,NA,NA,NA,NA,0.5562130177514792,0.5562130177514792
SY02,SY0203,SY020304,C1493,125,131,2,1354,NA,NA,NA,NA,NA,125,0.0967503692762186,0.09231905465288036
SY02,SY0203,SY020304,C1494,350,362,1,3471,NA,NA,NA,NA,NA,362,0.10429271103428407,0.10083549409392106
SY02,SY0203,SY020304,C1495,47,47,1,253,NA,NA,NA,NA,NA,47,0.1857707509881423,0.1857707509881423
SY02,SY0203,SY020304,C1496,69,69,1,136,NA,NA,NA,NA,NA,NA,0.5073529411764706,0.5073529411764706
SY02,SY0203,SY020304,C1500,160,160,1,571,NA,NA,NA,NA,NA,160,0.28021015761821366,0.28021015761821366
SY02,SY0203,SY020304,C1501,183,204,2,1110,NA,NA,NA,NA,NA,183,0.1837837837837838,0.16486486486486487
SY02,SY0203,SY020304,C1502,1,1,1,2433,0,0,40,1644.0608302507192,0.01562780285615741,NA,4.110152075626798e-4,4.110152075626798e-4
SY02,SY0203,SY020304,C1504,155,295,1,725,NA,NA,NA,NA,NA,295,0.4068965517241379,0.21379310344827587
SY02,SY0203,SY020304,C1505,510,1760,2,4053,0,0,24,592.1539600296077,0.006738675749543753,NA,0.43424623735504564,0.12583271650629163
SY02,SY0203,SY020304,C1506,405,434,2,1980,NA,NA,NA,NA,NA,29,0.2191919191919192,0.20454545454545456
SY02,SY0203,SY020304,C1507,210,210,1,694,NA,NA,NA,NA,NA,210,0.3025936599423631,0.3025936599423631
SY02,SY0203,SY020304,C1510,245,258,2,756,NA,NA,NA,NA,NA,245,0.3412698412698413,0.32407407407407407
SY02,SY0203,SY020304,C1511,195,197,2,679,NA,NA,NA,NA,NA,195,0.29013254786450665,0.28718703976435933
SY02,SY0203,SY020304,C1512,182,182,1,746,NA,NA,NA,NA,NA,182,0.24396782841823056,0.24396782841823056
