admin4pcode,zone,aoc_rosc
C1022,West of M5/Aleppo,Non-state armed groups
C1023,West of M5/Aleppo,Non-state armed groups
C1028,West of M5/Aleppo,Non-state armed groups
C1030,West of M5/Aleppo,Non-state armed groups
C1032,West of M5/Aleppo,Non-state armed groups
C1033,West of M5/Aleppo,Non-state armed groups
C1037,West of M5/Aleppo,Non-state armed groups
C1038,West of M5/Aleppo,Non-state armed groups
C1041,West of M5/Aleppo,Non-state armed groups
C1139,West of M5/Aleppo,Non-state armed groups
C1142,West of M5/Aleppo,Non-state armed groups
C1143,West of M5/Aleppo,Non-state armed groups
C1149,West of M5/Aleppo,Non-state armed groups
C6682,West of M5/Aleppo,Non-state armed groups
C6764,West of M5/Aleppo,Non-state armed groups
C7441,West of M5/Aleppo,Non-state armed groups
C8088,West of M5/Aleppo,Non-state armed groups
C1323,Menbij areas - south of M4,Syrian democratic forces
C1325,Menbij areas - north of M4,Syrian democratic forces
C1326,Menbij areas - north of M4,Syrian democratic forces
C1329,Menbij areas - north of M4,Syrian democratic forces
C1334,Menbij areas - north of M4,Syrian democratic forces
C1336,Menbij areas - north of M4,Syrian democratic forces
C1350,Menbij areas - north of M4,Syrian democratic forces
C6413,Menbij areas - north of M4,Syrian democratic forces
C8170,Menbij areas - south of M4,Syrian democratic forces
C8171,Menbij areas - north of M4,Syrian democratic forces
C8182,Menbij areas - north of M4,Syrian democratic forces
C7453,West of M5/Aleppo,Non-state armed groups
C1675,Menbij areas - north of M4,Syrian democratic forces
C1674,Menbij areas - south of M4,Syrian democratic forces
C1676,Menbij areas - north of M4,Syrian democratic forces
C1677,Menbij areas - north of M4,Syrian democratic forces
C1678,Menbij areas - north of M4,Syrian democratic forces
C1679,Menbij areas - north of M4,Syrian democratic forces
C1680,Menbij areas - north of M4,Syrian democratic forces
C1681,Menbij areas - north of M4,Syrian democratic forces
C1682,Menbij areas - south of M4,Syrian democratic forces
C1683,Menbij areas - north of M4,Syrian democratic forces
C1684,Menbij areas - south of M4,Syrian democratic forces
C1685,Menbij areas - south of M4,Syrian democratic forces
C1686,Menbij areas - south of M4,Syrian democratic forces
C1687,Menbij areas - south of M4,Syrian democratic forces
C1688,Menbij areas - north of M4,Syrian democratic forces
C1689,Menbij areas - north of M4,Syrian democratic forces
C1690,Menbij areas - south of M4,Syrian democratic forces
C1691,Menbij areas - north of M4,Syrian democratic forces
C1692,Menbij areas - south of M4,Syrian democratic forces
C1696,Menbij areas - south of M4,Syrian democratic forces
C1697,Menbij areas - south of M4,Syrian democratic forces
C1699,Menbij areas - south of M4,Syrian democratic forces
C1700,Menbij areas - south of M4,Syrian democratic forces
C1701,Menbij areas - south of M4,Syrian democratic forces
C1702,Menbij areas - north of M4,Syrian democratic forces
