admin4pcode,beneficiaries,pc_ben
C1426,49178,0.0914810184978496
C4140,47141,0.08769178683572183
C4115,42918,0.07983615339970535
C1366,26337,0.04899214250636189
C4126,25168,0.04681756626039853
C4130,18941,0.03523408783130199
C4143,16355,0.03042360522047115
C3871,14371,0.02673296426923821
C1564,12780,0.023773382740300907
C4121,12583,0.02340692292810691
C1139,11810,0.021968986710716253
C1022,10011,0.018622483146569044
C4129,9017,0.01677344226676786
C4157,8518,0.01584520142268256
C1202,8118,0.015101120585740434
C3947,7913,0.014719779156807595
C1026,5830,0.010844978198431478
C3949,5251,0.009767921186957752
C4176,5044,0.0093828593538402
C1032,4914,0.00914103308183401
C6692,4904,0.009122431060910458
C4142,4508,0.008385791032337752
C1035,4374,0.00813652395196214
C6620,3876,0.007210143309969195
C1520,3830,0.007124574013720851
C3904,3750,0.006975757846332426
C1023,3684,0.0068529845082369745
C1524,3669,0.006825081476851645
C4184,3636,0.00676369480780392
C4174,3581,0.006661383692724378
C3938,3488,0.006488384898135333
C3950,3440,0.006399095197702279
C1025,3264,0.006071699629447743
C1036,3256,0.006056818012708901
C4125,3137,0.005835453963718619
C1030,3136,0.005833593761626263
C2227,3122,0.0058075509323332886
C6693,3089,0.005746164263285563
C4141,3030,0.0056364123398366
C1497,2970,0.005524800214295281
NA,2964,0.005513639001741149
C4137,2940,0.0054689941515246214
C4231,2748,0.005111835349792401
C4149,2744,0.00510439454142298
C6619,2709,0.005039287468190544
C4263,2706,0.005033706861913478
C1038,2612,0.004858847865232079
C1021,2515,0.004678408262273614
C3932,2500,0.004650505230888283
C4252,2454,0.004564935934639939
C4124,2200,0.004092444603181689
C4122,2193,0.004079423188535203
C3943,2120,0.0039436284357932646
C4164,2118,0.003939908031608554
C1498,2110,0.003925026414869711
C4148,2077,0.003863639745821986
C4261,2064,0.003839457118621367
C3944,2049,0.0038115540872360374
C4131,2033,0.0037817908537583524
C6631,2026,0.0037687694391118653
C4134,1870,0.0034785779127044364
C4136,1870,0.0034785779127044364
C4185,1845,0.0034320728603955534
C4116,1844,0.003430212658303198
C4180,1765,0.0032832566930071283
C4267,1725,0.003208848609312916
C6766,1671,0.003108397696325729
C4146,1557,0.002896334657797223
C4133,1486,0.0027642603092399957
C3905,1485,0.0027624001071476405
C1143,1435,0.002669390002529875
C4312,1429,0.002658228789975743
C1391,1405,0.0026135839397592154
C4265,1326,0.0024666279744631455
C1518,1269,0.002360596455198893
C1449,1245,0.002315951604982365
C4114,1204,0.0022396833191957975
C1431,1198,0.0022285221066416657
C4170,1196,0.002224801702456955
C4183,1190,0.002213640489902823
C3906,1160,0.002157834427132164
C1447,1125,0.0020927273538997276
C1433,1082,0.002012738663928449
C4138,1069,0.0019885560367278302
C4147,933,0.0017355685521675075
C1515,900,0.0016741818831197822
C1422,880,0.0016369778412726758
C6397,880,0.0016369778412726758
C6694,852,0.0015848921826867271
C4260,843,0.0015681503638555292
C8184,835,0.0015532687471166867
C1437,825,0.0015346667261931337
C1209,822,0.0015290861199160678
C1188,799,0.0014863014717918955
C1362,795,0.0014788606634224743
C4278,791,0.001471419855053053
C8161,768,0.0014286352069288806
C4242,755,0.0014044525797282618
C4172,718,0.001335625102311115
C1544,693,0.0012891200500022323
C1561,680,0.0012649374228016132
C4199,679,0.0012630772207092578
C1444,650,0.0012091313600309538
C1548,634,0.0011793681265532688
C1428,615,0.0011440242867985179
C1522,608,0.0011310028721520306
C8116,605,0.0011254222658749647
C4152,595,0.0011068202449514115
C4228,586,0.0010900784261202137
C1521,550,0.0010231111507954223
C1552,550,0.0010231111507954223
C4127,539,0.0010026489277795139
C5792,534,9.933479173177375e-4
C3939,532,9.896275131330268e-4
C1664,519,9.654448859324077e-4
C4249,492,9.152194294388143e-4
C6622,489,9.096388231617483e-4
C4240,485,9.021980147923271e-4
C1555,481,8.947572064229058e-4
C1423,455,8.463919520216676e-4
C4222,455,8.463919520216676e-4
C4248,448,8.333705373751804e-4
C1439,445,8.277899310981145e-4
C4210,445,8.277899310981145e-4
C1419,415,7.719838683274551e-4
C6755,404,7.515216453115466e-4
C4123,401,7.459410390344807e-4
C1436,400,7.440808369421253e-4
C6621,398,7.403604327574148e-4
C1138,392,7.291992202032828e-4
C1514,390,7.254788160185723e-4
C1643,363,6.752533595249788e-4
C1494,362,6.733931574326235e-4
C3879,355,6.603717427861363e-4
C3946,348,6.473503281396491e-4
C3951,348,6.473503281396491e-4
C4135,343,6.380493176778725e-4
C3940,327,6.082860842001875e-4
C3873,323,6.008452758307662e-4
C6632,303,5.6364123398366e-4
C1421,295,5.487596172448174e-4
