admin1pcode,admin2pcode,admin3pcode,admin4pcode,beneficiaries,beneficiary_frequencies,clusters,total_pop,wounded_dead,wounded_dead_100k,damaged_houses,damaged_houses_100k,eq_score
SY02,SY0200,SY020001,C1020,11659,31305,7,21115,NA,NA,NA,NA,NA
SY02,SY0200,SY020001,C1021,11805,91568,7,9086,NA,NA,NA,NA,NA
SY02,SY0200,SY020001,C1022,4250,72195,6,32930,616,1870.6346796234438,170,516.246583662314,0.09925685471501419
SY02,SY0200,SY020001,C1023,3684,6653,4,10770,NA,NA,NA,NA,NA
SY02,SY0200,SY020001,C1025,9210,44137,6,24581,NA,NA,NA,NA,NA
SY02,SY0200,SY020001,C1026,5819,39937,5,20148,NA,NA,NA,NA,NA
SY02,SY0200,SY020001,C1028,1,2,1,1371,NA,NA,NA,NA,NA
SY02,SY0200,SY020001,C1030,5000,10095,5,14962,NA,NA,NA,NA,NA
SY02,SY0200,SY020001,C1032,5000,20648,6,8298,NA,NA,NA,NA,NA
SY02,SY0200,SY020001,C1033,460,1000,1,904,NA,NA,NA,NA,NA
SY02,SY0200,SY020001,C1035,12615,55261,7,17380,NA,NA,NA,NA,NA
SY02,SY0200,SY020001,C1036,3256,14988,6,9394,NA,NA,NA,NA,NA
SY02,SY0200,SY020001,C1037,1055,1060,1,1196,NA,NA,NA,NA,NA
SY02,SY0200,SY020001,C1038,3252,10736,5,8257,NA,NA,NA,NA,NA
SY02,SY0200,SY020001,C1041,685,1174,2,4100,NA,NA,NA,NA,NA
SY02,SY0200,SY020004,C1138,2810,10542,5,8076,NA,NA,NA,NA,NA
SY02,SY0200,SY020004,C1139,10360,71169,6,39110,0,0,6,15.341344924571722,7.968389517551651e-4
SY02,SY0200,SY020004,C1142,650,846,2,1288,NA,NA,NA,NA,NA
SY02,SY0200,SY020004,C1143,1770,3956,4,1450,NA,NA,NA,NA,NA
SY02,SY0200,SY020004,C1149,1690,2842,3,4836,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1187,15184,17001,3,2579,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1188,45500,123347,6,25675,0,0,50,194.74196689386562,0.007087911775507412
SY02,SY0202,SY020200,C1189,2,5,1,0,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1190,5530,14163,4,4455,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1191,8566,8855,1,1609,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1192,3489,9028,2,2390,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1193,2550,2550,1,2102,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1194,8775,8782,2,400,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1195,1200,1258,1,1083,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1196,341,777,1,1643,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1198,2373,7643,4,3623,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1199,343,2527,2,1602,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1200,2260,2260,1,1930,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1202,134894,838611,6,100527,149,148.218886468312,657,653.5557611387985,0.09674307356060725
SY02,SY0202,SY020200,C1204,285,1695,2,2029,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1206,3328,5524,2,2501,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1209,25600,342619,6,28005,0,0,40,142.83163720764148,0.005583605657672317
SY02,SY0202,SY020200,C1211,1802,1803,2,1853,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1213,1158,1159,2,1199,NA,NA,NA,NA,NA
SY02,SY0202,SY020200,C1214,5774,6152,1,411,NA,NA,NA,NA,NA
SY02,SY0202,SY020201,C1219,730,855,1,1440,NA,NA,NA,NA,NA
SY02,SY0202,SY020203,C1250,12972,63488,3,5471,57,1041.8570645220252,85,1553.646499725827,0.033154984714385986
SY02,SY0202,SY020203,C1256,1,2,1,722,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1322,2700,2760,1,2150,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1327,3480,3480,1,1059,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1328,1600,2245,1,1246,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1329,925,1446,2,3370,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1330,1640,1997,1,1644,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1332,1070,1070,1,400,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1333,4874,7737,3,2458,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1337,4540,4540,1,1499,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1339,10690,10903,2,2466,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1341,1240,1240,1,1064,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1342,2600,2640,1,757,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1343,1920,2572,1,1188,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1344,3790,3933,1,1907,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1345,2300,3098,2,3793,NA,NA,NA,NA,NA
SY02,SY0202,SY020206,C1346,1470,9148,3,1480,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1351,840,1105,2,541,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1352,308,333,2,3305,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1353,16255,21297,1,2014,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1355,655,655,1,651,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1356,355,355,1,1175,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1359,2008,3451,3,2612,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1362,1101,4257,3,1121,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1363,5,5,1,1094,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1364,739,2916,2,5095,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1365,1539,1539,1,1200,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1366,24000,328268,8,104803,186,177.4758356153927,434,414.11028310258297,0.07335054637491813
SY02,SY0203,SY020300,C1367,24,24,1,9021,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1370,29,39,2,2088,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1372,50,50,1,168,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1373,51,227,1,2056,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1374,65,271,2,886,NA,NA,NA,NA,NA
SY02,SY0203,SY020300,C1376,255,261,2,7423,NA,NA,NA,NA,NA
