admin4Pcode,Location_Pcode,LocationName_en,Locationme_ar,location_type
C1020,CP000613,Al Ezza / العزة,,NWS sites
C1020,CP000614,Al Mansoura/ المنصورة,,NWS sites
C1020,CP001219,Athar/ أثار,,NWS sites
C1020,CP001221,Al Muhtasiboun/ المحتسبون,,NWS sites
C1020,CP001250,Gaith Wa Rehma2 / غيث ورحمة 2,,
C1020,CP001322,Al Homad / الحومد,,NWS sites
C1020,CP001323,Urum Al Sughra / أورم الصغرى,,NWS sites
C1020,CP001903,التوامة / Altawama,,NWS sites
C1020,CP001904,Gaith and Rahma/غيث ورحمة,,NWS sites
C1020,TEMP027,Tawamah Shelter Center,مركز ايواء التوامه,Informal Site  
C1021,CP000490,Al Wafa (Sarmada) /  (سرمدا) الوفاء,,
C1021,CP000576,Al-Furkan(Alkamouna)  /الفرقان (الكمونة),,
C1021,CP000661,Basmet Amal/ بسمة أمل,,
C1021,CP000734,Blozia  / بلوزية,,
C1021,CP002248,Al nour Village CP002248,,Reception Center  
C1021,TEMP031,Diniz Al haramin,,Reception Center  
C1022,CP001878,Aleis/العيس,,NWS sites
C1025,CP000458,Al Hersh(Borj)/ الحرش(البرج),,NWS sites
C1025,CP000557,Sabroun (Batbo)  /  صابرون (باتبو),,NWS sites
C1025,CP000562,AlAtshana Algharbiyah / العطشانة الغربية ,,NWS sites
C1025,CP000563,Al Saiyalah / السيالة ,,
C1025,CP000594,Qurtoba  / قرطبة,,
C1025,CP001242,Al Mathana(Batbu) / المطحنة(باتبو),,NWS sites
C1025,CP001243,Halab Alshahbaa (Batbu) / حلب الشهباء(باتبو),,NWS sites
C1025,CP001246,Muhajaree Khan AlAsal / مهجري خان العسل,,NWS sites
C1025,CP001270,Al Taliaa / الطليعة,,NWS sites
C1025,CP001334,Al Badawi/ البدوي,,NWS sites
C1025,CP001365,Al Hamoud / الحمود,,NWS sites
C1025,CP001366,Al Yousuf / اليوسف,,NWS sites
C1025,CP001367,Batbu Reception Center / مركز استقبال باتبو,,NWS sites
C1025,CP001479,Najm Aldeen Arbakan / نجم الدين أربكان,,NWS sites
C1025,CP001721,Tal Nawaz / تل نواز,,NWS sites
C1025,CP001722,Zitan / زيتان,,NWS sites
C1025,CP001814,Al Tareek Alabyad/ الطريق الأبيض,,NWS sites
C1025,CP001815,Al Bari(Batbu) / البري(باتبو),,NWS sites
C1025,CP001875,Al Jamaa Algharbi / الجامع الغربي,,NWS sites
C1025,CP001879,Anadan / عندان,,NWS sites
C1025,CP001880,Khan Al-Asaal / خان العسل,,NWS sites
C1025,CP001881,Kafernaha / كفرناها,,NWS sites
C1025,CP001882,Albesh / البش,,NWS sites
C1025,CP001883,Al-Nour(Atareb) / النور(أتارب),,NWS sites
C1025,CP001922,Al Salam(Batbu) / السلام(باتبو),,NWS sites
C1025,CP001940,Al Wadi(Batbu) / الوادي(باتبو),,NWS sites
C1025,CP002004,Al - Muhsnien / المحسنين,,NWS sites
C1026,CP000283,Ra'a/ راع,,NWS sites
C1026,CP001354,Al Rasheed / الرشيد,,NWS sites
C1026,CP001355,Al Kasasieb / القصاصيب,,NWS sites
C1035,CP000406,Al Abiad-Kafar Karmeen / الأبيض-كفر كرمين,,NWS sites
C1036,CP000718,Hourti  / حورتي,,NWS sites
C1036,CP001509,Al Barakat / البركات,,NWS sites
C1036,CP001510,Al Oliwi(Atareb) / العليوي(أتارب),,NWS sites
C1036,CP001511,Maram (Atareb) / مرام(أتارب),,NWS sites
C1036,CP001512,Um Neer / أم نير,,NWS sites
C1036,CP001960,Habes / حابس,,NWS sites
C1036,CP001961,kafr Nobol (Atareb) / كفرنبل(أتارب),,NWS sites
C1138,CP001434,Al Safa / الصفا,,NWS sites
C1138,CP001777,Al Iman(Zarzita) / الايمان(زرزيتا),,NWS sites
C1187,CP001032,Al Rajeh/ الراجح,,NWS sites
C1187,CP001034,Susian/ سوسيان,,NWS sites
C1188,CP000879,Bazagha  /بزاعة,,NWS sites
C1190,CP001213,Su Sinbat/سو سنباط,,NWS sites
C1190,CP001349,Al Hazori / الحزوري,,NWS sites
C1190,CP001957,Haq Alsham / حق الشام,,NWS sites
C1192,CP000882,Al Bourj (Lam Alshamel) / البرج(لم الشمل),,NWS sites
C1192,CP001033,Al Bazar/ البازار,,NWS sites
C1196,CP001204,Al Shaikh Alwan/ الشيخ علوان,,NWS sites
C1198,CP001085,Hadath / حدث,,NWS sites
C1198,CP001914,Al Katari Village / القرية القطرية,,NWS sites
C1199,CP001353,Tal Jerji/تل جرجي,,NWS sites
C1202,CP000457,Duyuf Al Sharqia/ ضيوف الشرقية ,,NWS sites
C1202,CP001195,Qubbet Elsheikh/قبة الشيخ,,NWS sites
C1202,CP001998, العشوائي القطاع الثاني/ Ashwai sector 2,,NWS sites
C1202,TEMP033,Rofakaa,,Reception Center  
C1202,TEMP061,Al-Huda Camp,مخيم الهدى,Reception Center  
C1204,CP001792,Olan/عولان,,NWS sites
C1206,CP001203,Shadoud/ شدود,,NWS sites
C1209,CP001180,Qabasin/قباسين,,NWS sites
C1209,CP001338,Mseibin / مصيبين,,NWS sites
C1209,CP001339,Zamkah / زمكة,,NWS sites
C1333,CP001182,Al Wadi Alkhdar / الوادي الأخضر,,NWS sites
C1346,CP001181,Birshaya/ برشاية,,NWS sites
C1352,CP001734,Salah Aldin(Iskan)/صلاح الدين(إسقاط),,NWS sites
C1352,CP001735,Iskan/إسكان,,NWS sites
C1359,CP001906,Sheikh Eldeir/شيخ الدير,,NWS sites
C1362,CP001832,marrak Qibar / مقابل مفرق قيبار,,NWS sites
C1364,CP001842,Al Khaldiyet(Afrin) / الخالدية(عفرين),,NWS sites
C1366,CP000872,Albayraq  / مركز إيواء البيرق,,NWS sites
C1366,CP001448,Jean Afrin / جين عفرين,,NWS sites
C1366,CP001449,Pazar Afrin / بازار عفرين,,NWS sites
C1366,CP001450,Jisr Afrin / جسر عفرين,,NWS sites
C1366,CP001451,Makatib Maarata / مكاتب معراتة,,NWS sites
C1366,CP001452,Malahi / ملاهي,,NWS sites
C1366,CP001453,Markaz Thakafi / مقابل المركز الثقافي,,NWS sites
C1366,CP001635,Hirsh AlZaidiah / حرش الزيدية,,NWS sites
C1366,CP001636,Military Hospital/ المشفى العسكري,,NWS sites
C1366,CP001690,Emmar 2 Center / مركز  اعمار 2,,NWS sites
C1366,CP001703,Trendah / ترندة,,NWS sites
C1366,CP001705,Ashrafyah (Center21) / الأشرفية(مركز21),,NWS sites
C1366,CP001818,Salit Alsalam / صالة السلام,,NWS sites
C1366,CP001819,Ma'mal Altanak / معمل التنك,,NWS sites
C1366,CP001820,Salit Silvana / صالة سلفانا,,NWS sites
C1366,CP001821,Al Aytam(Afrin) / الأيتام(عفرين),,NWS sites
C1366,CP001822,Madrast Alsina'a(Afrin) / مدرسة الصناعة(عفرين),,NWS sites
C1366,CP001823,Trendah Extension/ ملحق ترندة,,NWS sites
C1366,CP001824,Maamal Block Paradise / معمل البلوك برادايس,,NWS sites
C1366,CP001825,Maamal Isment/ معمبل الإسمنت,,NWS sites
C1366,CP001826,Collective Center 14 Duwar Alsaraya / مركز الإيواء 14 دوار السرايا,,NWS sites
C1366,CP001827,Manshart Alhajar / منشرة الحجر,,NWS sites
