distribution_date,implementing_partner,abbreviation,donor,project_status,currency,transfer_value,transfer_frequency,families,beneficiaries,governorate,district,sub_district,community,admin1pcode,admin2pcode,admin3pcode,admin4pcode,camp_name,village_camps,longitude_x,latitude_y,total_usd,response_type,source,previously_assisted,admin5pcode
2023-02-09T00:00:00Z,CBRTWG-031,CBRTWG-031,ECHO,Completed,USD,150,30,8,40,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,الساروت - Al sarout,camp,37.04316,36.584872,1200,Earthquake,fsl_tracker,NA,NA
2023-02-09T00:00:00Z,CBRTWG-031,CBRTWG-031,ECHO,Completed,USD,150,30,28,140,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,مخيم طلحة - Talha Camp,camp,37.04316,36.584872,4200,Earthquake,fsl_tracker,NA,NA
2023-02-09T00:00:00Z,CBRTWG-031,CBRTWG-031,ECHO,Completed,USD,150,30,92,460,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,جب ركية - Jub Rakeiah,camp,37.04316,36.584872,13800,Earthquake,fsl_tracker,NA,NA
2023-02-09T00:00:00Z,CBRTWG-031,CBRTWG-031,ECHO,Completed,USD,150,30,135,675,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,مخيم الايواء - Euaa camp,camp,37.04316,36.584872,20250,Earthquake,fsl_tracker,NA,NA
2023-02-09T00:00:00Z,CBRTWG-031,CBRTWG-031,ECHO,Completed,USD,150,30,24,120,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,NA,village,37.04316,36.584872,3600,Earthquake,fsl_tracker,NA,NA
2023-02-09T00:00:00Z,CBRTWG-031,CBRTWG-031,ECHO,Completed,USD,150,30,32,160,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,NA,village,37.04316,36.584872,4800,Earthquake,fsl_tracker,NA,NA
2023-02-09T00:00:00Z,CBRTWG-031,CBRTWG-031,ECHO,Completed,USD,150,30,110,550,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,NA,village,37.04316,36.584872,16500,Earthquake,fsl_tracker,NA,NA
2023-02-10T00:00:00Z,Norwegian Refugee Council (NRC),NRC,Norwegian Refugee Council,Completed,USD,150,30,263,1315,Idleb,Harim,Harim,Harim,SY07,SY0703,SY070300,C4115,NA,village,36.520746,36.212594,39450,Earthquake,fsl_tracker,NA,NA
2023-02-10T00:00:00Z,Bahar Organization (BO),BO,Save The Children,Completed,USD,150,30,2400,12000,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,in collective temporary tents,village,36.689563,36.392488,360000,Earthquake,fsl_tracker,NA,NA
2023-02-11T00:00:00Z,Norwegian Refugee Council (NRC),NRC,Norwegian Refugee Council,Completed,USD,150,30,2000,1504,Idleb,Harim,Harim,Harim,SY07,SY0703,SY070300,C4115,NA,village,36.520746,36.212594,300000,Earthquake,fsl_tracker,NA,NA
2023-02-11T00:00:00Z,Norwegian Refugee Council (NRC),NRC,Norwegian Refugee Council,Completed,USD,150,30,2000,1548,Idleb,Harim,Salqin,Salqin,SY07,SY0703,SY070302,C4140,NA,village,36.453694,36.139048,300000,Earthquake,fsl_tracker,NA,NA
2023-02-11T00:00:00Z,CBRTWG-031,CBRTWG-031,ECHO,Completed,USD,150,30,93,510,Idleb,Harim,Dana,Qah,SY07,SY0703,SY070301,C4131,Collective Center,camp,36.725165,36.296273,13950,Earthquake,fsl_tracker,NA,NA
2023-02-11T00:00:00Z,CBRTWG-031,CBRTWG-031,ECHO,Completed,USD,150,30,107,579,Aleppo,Jebel Saman,Atareb,Atareb,SY02,SY0200,SY020001,C1022,Collective Center,camp,36.828382,36.137884,16050,Earthquake,fsl_tracker,NA,NA
2023-02-11T00:00:00Z,CBRTWG-031,CBRTWG-031,ECHO,Completed,USD,150,30,68,360,Idleb,Harim,Dana,Qah,SY07,SY0703,SY070301,C4131,Collective Center,camp,36.725165,36.296273,10200,Earthquake,fsl_tracker,NA,NA
2023-02-11T00:00:00Z,CBRTWG-031,CBRTWG-031,ECHO,Completed,USD,150,30,80,442,Aleppo,Jebel Saman,Atareb,Atareb,SY02,SY0200,SY020001,C1022,Collective Center,camp,36.828382,36.137884,12000,Earthquake,fsl_tracker,NA,NA
2023-02-12T00:00:00Z,Norwegian Refugee Council (NRC),NRC,N/A,Completed,USD,150,30,680,3400,Idleb,Harim,Salqin,Salqin,SY07,SY0703,SY070302,C4140,NA,village,36.453694,36.139048,102000,Earthquake,fsl_tracker,NA,NA
2023-02-12T00:00:00Z,CBRTWG-031,CBRTWG-031,Private donor,Completed,USD,150,30,105,525,Aleppo,Jarablus,Jarablus,Jarablus,SY02,SY0208,SY020800,C2227,in collective temporary center,village,38.009919,36.814478,15750,Earthquake,fsl_tracker,NA,NA
2023-02-12T00:00:00Z,CBRTWG-031,CBRTWG-031,WHH,Completed,USD,150,30,22,110,Aleppo,Jarablus,Jarablus,Jarablus,SY02,SY0208,SY020800,C2227,in collective temporary center,village,38.009919,36.814478,3300,Earthquake,fsl_tracker,NA,NA
2023-02-13T00:00:00Z,CBRTWG-031,CBRTWG-031,BHA,Completed,USD,150,30,22,110,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,NA,village,37.04316,36.584872,3300,Earthquake,fsl_tracker,NA,NA
2023-02-13T00:00:00Z,CBRTWG-031,CBRTWG-031,N/A,Completed,USD,150,30,138,690,Aleppo,A'zaz,A'zaz,Nayara,SY02,SY0204,SY020400,C1573,Alresaleh Coolective center,NA,37.110584,36.608169,20700,Earthquake,fsl_tracker,NA,NA
2023-02-13T00:00:00Z,Norwegian Refugee Council (NRC),NRC,Private donor,Completed,USD,150,30,1500,7500,Idleb,Harim,Harim,Harim,SY07,SY0703,SY070300,C4115,NA,village,36.520746,36.212594,225000,Earthquake,fsl_tracker,NA,NA
2023-02-14T00:00:00Z,Norwegian Refugee Council (NRC),NRC,N/A,Completed,USD,150,30,1000,5000,Idleb,Harim,Salqin,Azmarin,SY07,SY0703,SY070302,C4143,NA,village,36.401422,36.055985,150000,Earthquake,fsl_tracker,NA,NA
2023-02-20T00:00:00Z,CBRTWG-031,CBRTWG-031,ECHO,Completed,USD,150,30,170,850,Idleb,Jisr-Ash-Shugur,Janudiyeh,Hamama - Kafr Debbin,SY07,SY0704,SY070403,C4267,Reef Halab,camp,36.357168,35.923269,25500,Earthquake,fsl_tracker,NA,NA
2023-02-20T00:00:00Z,CBRTWG-031,CBRTWG-031,ECHO,Completed,USD,150,30,51,255,Idleb,Jisr-Ash-Shugur,Janudiyeh,Foz - Zuf,SY07,SY0704,SY070403,C4263,Sheikh sayyah,village,36.234349,35.941613,7650,Earthquake,fsl_tracker,NA,NA
2023-02-20T00:00:00Z,CBRTWG-031,CBRTWG-031,Mercy Without Limits (MWL),Completed,USD,150,30,150,750,Aleppo,Afrin,Afrin,Afrin (Afrin),SY02,SY0203,SY020300,C1366,NA,village,36.865523,36.511094,22500,Earthquake,fsl_tracker,NA,NA
2023-02-22T00:00:00Z,CBRTWG-031,CBRTWG-031,N/A,Completed,USD,150,30,37,185,Aleppo,Afrin,Sharan,Ali Bazan,SY02,SY0203,SY020304,C1512,NA,village,36.919482,36.652046,5550,Earthquake,fsl_tracker,NA,NA
2023-02-22T00:00:00Z,CBRTWG-031,CBRTWG-031,N/A,Completed,USD,150,30,11,55,Aleppo,Afrin,Sharan,Dama - Ayki Dam,SY02,SY0203,SY020304,C1495,NA,village,37.029497,36.730563,1650,Earthquake,fsl_tracker,NA,NA
2023-02-22T00:00:00Z,CBRTWG-031,CBRTWG-031,N/A,Completed,USD,150,30,7,35,Aleppo,Afrin,Sharan,Sharan (Sharan),SY02,SY0203,SY020304,C1497,Darweesh,village,36.9416,36.621308,1050,Earthquake,fsl_tracker,NA,NA
2023-02-22T00:00:00Z,CBRTWG-031,CBRTWG-031,N/A,Completed,USD,150,30,8,40,Aleppo,Afrin,Sharan,Doraq,SY02,SY0203,SY020304,C1506,NA,village,36.910096,36.706494,1200,Earthquake,fsl_tracker,NA,NA
2023-02-22T00:00:00Z,CBRTWG-031,CBRTWG-031,N/A,Completed,USD,150,30,18,90,Aleppo,Afrin,Sharan,Kafr Janna,SY02,SY0203,SY020304,C1518,NA,village,36.949674,36.584073,2700,Earthquake,fsl_tracker,NA,NA
