admin1pcode,admin2pcode,admin3pcode,admin4pcode,admin5pcode,camp_name,activity,beneficiaries,month,project_status,cluster,delivery_modality,site
SY07,SY0703,SY070301,C4130,CP000829,Ataa(Atmeh) 2 / عطاء2(أطمة),New people reached with GBV services  - GBV100,4,jan,Completed,Protection,Service delivery/support,CP000829
SY07,SY0703,SY070301,C4130,CP000800,Al Reeh Al Mursalah / الريح المرسلة,New people reached with GBV services  - GBV100,14,jan,Completed,Protection,Service delivery/support,CP000800
SY02,SY0200,SY020004,C6766,NA,NA,People trained on GBV related topics - GBV700,14,jan,Completed,Protection,Service delivery/support,C6766
SY07,SY0700,SY070005,C3949,NA,NA,People trained on GBV related topics - GBV700,16,jan,Completed,Protection,Service delivery/support,C3949
SY07,SY0703,SY070301,C4131,NA,NA,People trained on GBV related topics - GBV700,20,jan,Completed,Protection,Service delivery/support,C4131
SY07,SY0703,SY070301,C4124,NA,NA,People trained on GBV related topics - GBV700,10,jan,Completed,Protection,Service delivery/support,C4124
SY07,SY0704,SY070401,C4231,CP000113,Salah Alden (Kherbet Eljoz) / صلاح الدين(خربة الجوز),New people reached with GBV services  - GBV100,333,jan,Completed,Protection,Service delivery/support,CP000113
SY07,SY0704,SY070401,C4231,CP000113,Salah Alden (Kherbet Eljoz) / صلاح الدين(خربة الجوز),New people reached with GBV services  - GBV100,14,jan,Completed,Protection,Service delivery/support,CP000113
SY07,SY0704,SY070401,C4231,CP000113,Salah Alden (Kherbet Eljoz) / صلاح الدين(خربة الجوز),New people reached with GBV services  - GBV100,3,jan,Completed,Protection,Service delivery/support,CP000113
SY07,SY0704,SY070401,C4231,CP000113,Salah Alden (Kherbet Eljoz) / صلاح الدين(خربة الجوز),People trained on GBV related topics - GBV700,4,jan,Completed,Protection,Service delivery/support,CP000113
SY07,SY0704,SY070401,C4231,CP000113,Salah Alden (Kherbet Eljoz) / صلاح الدين(خربة الجوز),People trained on GBV related topics - GBV700,3,jan,Completed,Protection,Service delivery/support,CP000113
SY07,SY0704,SY070401,C4231,CP000113,Salah Alden (Kherbet Eljoz) / صلاح الدين(خربة الجوز),New people reached with GBV services  - GBV100,348,jan,Completed,Protection,Service delivery/support,CP000113
SY07,SY0704,SY070401,C4231,CP000113,Salah Alden (Kherbet Eljoz) / صلاح الدين(خربة الجوز),New people reached with GBV services  - GBV100,9,jan,Completed,Protection,Service delivery/support,CP000113
SY07,SY0704,SY070401,C4231,CP000113,Salah Alden (Kherbet Eljoz) / صلاح الدين(خربة الجوز),New people reached with GBV services  - GBV100,2,jan,Completed,Protection,Service delivery/support,CP000113
SY07,SY0704,SY070403,C4263,CP000300,Az-Zawf 2 (Sadaka Tashi) / الزواف 2 ( صدقة ),New people reached with GBV services  - GBV100,282,jan,Completed,Protection,Service delivery/support,CP000300
SY07,SY0704,SY070403,C4263,CP000300,Az-Zawf 2 (Sadaka Tashi) / الزواف 2 ( صدقة ),New people reached with GBV services  - GBV100,28,jan,Completed,Protection,Service delivery/support,CP000300
SY07,SY0704,SY070403,C4263,CP000300,Az-Zawf 2 (Sadaka Tashi) / الزواف 2 ( صدقة ),New people reached with GBV services  - GBV100,132,jan,Completed,Protection,Service delivery/support,CP000300
SY07,SY0704,SY070403,C4263,CP000300,Az-Zawf 2 (Sadaka Tashi) / الزواف 2 ( صدقة ),New people reached with GBV services  - GBV100,8,jan,Completed,Protection,Service delivery/support,CP000300
SY07,SY0700,SY070000,C3871,NA,NA,People trained on GBV related topics - GBV700,25,jan,Completed,Protection,Service delivery/support,C3871
SY07,SY0703,SY070301,C4130,CP001924,Al Kuwaity / الكويتي,New people reached with GBV services  - GBV100,11,jan,Completed,Protection,Service delivery/support,CP001924
SY07,SY0703,SY070301,C4131,NA,Al Shuhada / الشهداء,New people reached with GBV services  - GBV100,9,jan,Completed,Protection,Service delivery/support,Al Shuhada / الشهداء
SY07,SY0703,SY070301,C4131,CP000166,Al Bayan (Qah) / البيان(قاح),New people reached with GBV services  - GBV100,13,jan,Completed,Protection,Service delivery/support,CP000166
SY07,SY0703,SY070301,C4131,NA,Qarit Dar Hammoud / قرية دار حمود,New people reached with GBV services  - GBV100,21,jan,Completed,Protection,Service delivery/support,Qarit Dar Hammoud / قرية دار حمود
