start_date,end_date,implementing_partner,abbreviation,donor,project_status,currency,transfer_value,transfer_frequency,families,beneficiaries,governorate,district,sub_district,community,admin1pcode,admin2pcode,admin3pcode,admin4pcode,camp_name,village_camps,longitude_x,latitude_y,total_usd,response_type,source,previously_assisted,admin5pcode,cluster
2023-02-10T00:00:00Z,2023-02-10T00:00:00Z,Bahar Organization (BO),BO,Save The Children,Completed,USD,150,30,2400,12000,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,in collective temporary tents,village,36.689563,36.392488,360000,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-04-01T00:00:00Z,2023-04-01T00:00:00Z,Welthungerhilfe (WHH),WHH,WHH,Completed,USD,150,30,444,2220,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,NA,village,36.689563,36.392488,66600,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-04-01T00:00:00Z,2023-04-01T00:00:00Z,Welthungerhilfe (WHH),WHH,WHH,Completed,USD,150,30,131,655,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,NA,village,37.04316,36.584872,19650,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-04-01T00:00:00Z,2023-04-01T00:00:00Z,Welthungerhilfe (WHH),WHH,WHH,Completed,USD,150,30,250,1250,Idleb,Idleb,Bennsh,Bennsh,SY07,SY0700,SY070002,C3904,NA,village,36.714159,35.956659,37500,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-04-01T00:00:00Z,2023-04-01T00:00:00Z,Welthungerhilfe (WHH),WHH,WHH,Completed,USD,150,30,1471,705,Idleb,Harim,Salqin,Salqin,SY07,SY0703,SY070302,C4140,NA,village,36.453694,36.139048,220650,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-04-15T00:00:00Z,2023-04-15T00:00:00Z,Ghiras Al Nahda (GAN),GAN,Private donor,Completed,USD,150,1,300,1500,Aleppo,Afrin,Afrin,Afrin (Afrin),SY02,SY0203,SY020300,C1366,NA,village,36.865523,36.511094,45000,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-04-15T00:00:00Z,2023-04-15T00:00:00Z,Ghiras Al Nahda (GAN),GAN,Private donor,Completed,USD,150,1,310,1550,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,NA,village,36.689563,36.392488,46500,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-15T00:00:00Z,2023-02-15T00:00:00Z,Shafak Organization (SO),SHAFAK,CARE International,Completed,USD,150,30,250,1250,Aleppo,Jarablus,Jarablus,Jarablus,SY02,SY0208,SY020800,C2227,NA,village,38.009919,36.814478,37500,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-15T00:00:00Z,2023-02-15T00:00:00Z,Shafak Organization (SO),SHAFAK,N/A,Completed,USD,150,30,1500,7500,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,NA,village,36.689563,36.392488,225000,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-21T00:00:00Z,2023-02-21T00:00:00Z,Shafak Organization (SO),SHAFAK,CARE International,Completed,USD,130,30,2000,10000,Idleb,Harim,Dana,Atma,SY07,SY0703,SY070301,C4130,NA,village,36.689846,36.309771,260000,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-21T00:00:00Z,2023-02-21T00:00:00Z,Shafak Organization (SO),SHAFAK,Whh,Completed,USD,150,30,550,2750,Idleb,Harim,Harim,Harim,SY07,SY0703,SY070300,C4115,NA,village,36.520746,36.212594,82500,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,44,220,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,Thanwayet Al Banat,camp,36.689563,36.392488,6600,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,108,540,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,Maadraset Al Sharia,camp,36.689563,36.392488,16200,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,156,780,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,Al Kliyeh,camp,36.689563,36.392488,23400,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,91,455,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,Al Mulhak Mustafa Wadah,camp,36.689563,36.392488,13650,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,84,420,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,Iwaa Al Mazraa,camp,36.689563,36.392488,12600,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,71,355,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,Al Rahma,camp,36.689563,36.392488,10650,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,77,385,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,Al Ziyara,camp,36.689563,36.392488,11550,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,49,245,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,Madraset Aghgale,camp,36.689563,36.392488,7350,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,30,150,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,Sleman Al Kanouni,camp,36.689563,36.392488,4500,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,42,210,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,Al Jabl,camp,36.689563,36.392488,6300,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,29,145,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,البويضة,camp,36.689563,36.392488,4350,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,13,65,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,مقابل الشؤون,camp,36.689563,36.392488,1950,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,21,105,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,حمزة 1,camp,36.689563,36.392488,3150,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,19,95,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,حمزة 2,camp,36.689563,36.392488,2850,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,23,115,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,الحمدو,camp,36.689563,36.392488,3450,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,69,345,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,الايمان 1,camp,36.689563,36.392488,10350,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,91,455,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,محلق جنديريس,camp,36.689563,36.392488,13650,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,83,415,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,اجنادين,camp,36.689563,36.392488,12450,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,27,135,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,معصرة الفلاحين,camp,36.689563,36.392488,4050,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
2023-02-28T00:00:00Z,2023-02-28T00:00:00Z,Shafak Organization (SO),SHAFAK,BHA,Completed,USD,150,30,22,110,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,Kafr Abid,camp,36.689563,36.392488,3300,Earthquake,fsl_tracker,No,NA,Multipurpose Cash
