organization,organization_type,partner_code,implementing_partner_type,fund_source_donor,fund_category,sector,project_appeal,is_earthquake_response,sector_objective,sector_activity,activity_description,sector_indicator,indicator_unit,exact_value,beneficiaries,indirect_beneficiaries,total_beneficiaries,disaggregation_of_total_beneficiaries,exact_male_18,exact_female_18,exact_children_0_14,exact_youth_15_17,exact_pwd,exact_id_ps,exact_returnees,previously_assisted,if_yes_how_many_assisted_previously,total_unique_beneficiaries,delivery_modality,conditionality,restrictions,cash_delivery_mechanism,transfer_value,frequency,report_this_to_any_other_sector,if_yes_which_sector,governorate,admin1pcode,district,admin2pcode,sub_district,admin3pcode,community,admin4pcode,neighborhood,neighborhood_pcode,other_place_name,response_modality,hub,implementing_month,reporting_cycle,status,comment,order,total_usd,exact_male_18_from_total_beneficiaries,exact_female_18_from_total_beneficiaries,exact_children_0_14_from_total_beneficiaries,exact_youth_15_17_from_total_beneficiaries,exact_pwd_from_total_beneficiaries,exact_id_ps_from_total_beneficiaries,exact_returnees_from_total_beneficiaries,project_code_hrp,project_name,relevant_indicator2,specification_field_if_relevant_indicator_is_blank_then_leave_this_field_empty3,disaggregation_of_total_beneficiaries4
Ent_0002,INGO,Ent_0002,INGO,Ent_0202,NGO / Other,Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,15,75,0,75,Actual,0,0,0,0,0,0,0,No,0,75,Cash,Conditional,Restricted,Money Transfer Agent,800,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,A'zaz,SY020400,Salama,C1561,NA,NA,NA,Cross Border,HLG,01) Jan,01) Jan,NA,NA,6,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0202,NGO / Other,Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,15,75,0,75,Actual,0,0,0,0,0,0,0,Yes,75,0,Cash,Conditional,Restricted,Money Transfer Agent,800,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,A'zaz,SY020400,Salama,C1561,NA,NA,NA,Cross Border,HLG,02) Feb,02) Feb,NA,NA,7,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0202,NGO / Other,Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,5,25,0,25,Actual,0,0,0,0,0,0,0,No,0,25,Cash,Conditional,Restricted,Money Transfer Agent,800,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,A'zaz,SY020400,Yahmul,C1571,NA,NA,NA,Cross Border,HLG,01) Jan,01) Jan,NA,NA,2,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0202,NGO / Other,Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,5,25,0,25,Actual,0,0,0,0,0,0,0,Yes,25,0,Cash,Conditional,Restricted,Money Transfer Agent,800,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,A'zaz,SY020400,Yahmul,C1571,NA,NA,NA,Cross Border,HLG,02) Feb,02) Feb,NA,NA,3,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0202,NGO / Other,Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,10,50,0,50,Actual,0,0,0,0,0,0,0,No,0,50,Cash,Conditional,Restricted,Money Transfer Agent,800,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,A'zaz,SY020400,Kaljibrin,C1575,NA,NA,NA,Cross Border,HLG,01) Jan,01) Jan,NA,NA,4,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0202,NGO / Other,Early Recovery and Livelihood,Syria HRP 22/23,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,10,50,0,50,Actual,0,0,0,0,0,0,0,Yes,50,0,Cash,Conditional,Restricted,Money Transfer Agent,800,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,A'zaz,SY020400,Kaljibrin,C1575,NA,NA,NA,Cross Border,HLG,02) Feb,02) Feb,NA,NA,5,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0205,NGO / Other,Early Recovery and Livelihood,Non-HRP,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,2,10,0,10,Actual,0,0,0,0,0,0,0,No,0,10,Cash,Conditional,Restricted,Money Transfer Agent,700,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,Aghtrin,SY020401,Masudiyeh,C1599,NA,NA,NA,Cross Border,HLG,01) Jan,01) Jan,NA,NA,16,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0205,NGO / Other,Early Recovery and Livelihood,Non-HRP,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,29,145,0,145,Actual,0,0,0,0,0,0,0,No,0,145,Cash,Conditional,Restricted,Money Transfer Agent,700,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,Aghtrin,SY020401,Masudiyeh,C1599,NA,NA,NA,Cross Border,HLG,01) Jan,01) Jan,NA,NA,22,20300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0205,NGO / Other,Early Recovery and Livelihood,Non-HRP,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,2,10,0,10,Actual,0,0,0,0,0,0,0,Yes,10,0,Cash,Conditional,Restricted,Money Transfer Agent,700,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,Aghtrin,SY020401,Masudiyeh,C1599,NA,NA,NA,Cross Border,HLG,02) Feb,02) Feb,NA,NA,17,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ent_0002,INGO,Ent_0002,INGO,Ent_0205,NGO / Other,Early Recovery and Livelihood,Non-HRP,No,SO2 Increase access to Livelihood and job opportunities,Activity 2.01 Financial support including grants and seed funds and subsidized loans to businesses with high potential for job retention and creation,NA,"Indicator 2.01.1 # of people supported to rehabilitate, develop, or start a social or business entrepreneurship initiative",People,29,145,0,145,Actual,0,0,0,0,0,0,0,Yes,145,0,Cash,Conditional,Restricted,Money Transfer Agent,700,One-off,No,NA,Aleppo,SY02,A'zaz,SY0204,Aghtrin,SY020401,Masudiyeh,C1599,NA,NA,NA,Cross Border,HLG,02) Feb,02) Feb,NA,NA,23,20300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
