sector,hub,response_modality,implementing_partner,governorate,district,sub_district,location,location_type,community,reporting_month,start_date,end_date,project_status,activity,delivery_modality,cash_conditionality,transfer_value,cash_delivery_mechanism,beneficiaries,families,admin1pcode,admin2pcode,admin3pcode,admin4pcode,new_beneficiaries,total_usd,sub_cluster
Shelter,NWS X-B,Syria Cross-Border HLG,186,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,NA,March,2023-03-27T00:00:00Z,2023-03-27T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,275,55,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,186,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,Al-Nadi/ النادي  ,March,2023-03-27T00:00:00Z,2023-03-27T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,50,10,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,186,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,NA,March,2023-03-27T00:00:00Z,2023-03-27T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,50,10,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,186,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,NA,March,2023-03-27T00:00:00Z,2023-03-27T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,25,5,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,186,Aleppo,A'zaz,Mare',Mare',Camp/Settlements,NA,March,2023-03-28T00:00:00Z,2023-03-28T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,35,7,SY02,SY0204,SY020403,C1643,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,126,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,Waddah/ وضاح,March,2023-03-18T00:00:00Z,2023-03-18T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,265,53,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,126,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,البركة / Albaraka - TEMP101,March,2023-03-18T00:00:00Z,2023-03-18T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,70,14,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,126,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,Ehsas 2 / إحساس ٢ - TEMP063,March,2023-03-18T00:00:00Z,2023-03-18T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,100,20,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,126,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,Al-Bashir - mercy without limits / البشير .رحمة بلاحدود - TEMP064,March,2023-03-18T00:00:00Z,2023-03-18T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,50,10,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
Shelter,NWS X-B,Syria Cross-Border HLG,126,Aleppo,Afrin,Jandairis,Jandairis,Camp/Settlements,ALEMAN 2 reception center/ مركز استقبال الايمان 2 - TEMP035,March,2023-03-19T00:00:00Z,2023-03-19T00:00:00Z,Completed,1.2.1.2: Installation of new/ replacement of existing tents,In-kind/ service,NA,NA,NA,250,50,SY02,SY0203,SY020302,C1426,Yes,NA,shelter
